ffmpeg version 3.2.14-1~deb9u1 Copyright (c) 2000-2019 the FFmpeg developers
  built with gcc 6.3.0 (Debian 6.3.0-18+deb9u1) 20170516
  configuration: --prefix=/usr --extra-version='1~deb9u1' --toolchain=hardened --libdir=/usr/lib/x86_64-linux-gnu --incdir=/usr/include/x86_64-linux-gnu --enable-gpl --disable-stripping --enable-avresample --enable-avisynth --enable-gnutls --enable-ladspa --enable-libass --enable-libbluray --enable-libbs2b --enable-libcaca --enable-libcdio --enable-libebur128 --enable-libflite --enable-libfontconfig --enable-libfreetype --enable-libfribidi --enable-libgme --enable-libgsm --enable-libmp3lame --enable-libopenjpeg --enable-libopenmpt --enable-libopus --enable-libpulse --enable-librubberband --enable-libshine --enable-libsnappy --enable-libsoxr --enable-libspeex --enable-libssh --enable-libtheora --enable-libtwolame --enable-libvorbis --enable-libvpx --enable-libwavpack --enable-libwebp --enable-libx265 --enable-libxvid --enable-libzmq --enable-libzvbi --enable-omx --enable-openal --enable-opengl --enable-sdl2 --enable-libdc1394 --enable-libiec61883 --enable-chromaprint --enable-frei0r --enable-libopencv --enable-libx264 --enable-shared
  libavutil      55. 34.101 / 55. 34.101
  libavcodec     57. 64.101 / 57. 64.101
  libavformat    57. 56.101 / 57. 56.101
  libavdevice    57.  1.100 / 57.  1.100
  libavfilter     6. 65.100 /  6. 65.100
  libavresample   3.  1.  0 /  3.  1.  0
  libswscale      4.  2.100 /  4.  2.100
  libswresample   2.  3.100 /  2.  3.100
  libpostproc    54.  1.100 / 54.  1.100
Input #0, avi, from '/home/titus/tst2/testavi.avi':
  Duration: 01:56:38.24, start: 0.000000, bitrate: 829 kb/s
    Stream #0:0: Video: mpeg4 (DX50 / 0x30355844), yuv420p, 720x304 [SAR 1:1 DAR 45:19], 720 kb/s, 25 fps, 25 tbr, 25 tbn, 30k tbc
    Metadata:
      title           : DVD2VIDEO
    Stream #0:1: Audio: mp3 (U[0][0][0] / 0x0055), 48000 Hz, stereo, s16p, 96 kb/s
    Metadata:
      title           : DVD2AUDIO00
[tcp @ 0x55b0f1601e60] Connection to tcp://localhost:1935 failed (Connection refused), trying next address
[libx264 @ 0x55b0f157ab20] using SAR=1/1
[libx264 @ 0x55b0f157ab20] using cpu capabilities: MMX2 SSE2Fast SSSE3 SSE4.2 AVX FMA3 AVX2 LZCNT BMI2
[libx264 @ 0x55b0f157ab20] profile Constrained Baseline, level 3.0
[libx264 @ 0x55b0f157ab20] 264 - core 148 r2748 97eaef2 - H.264/MPEG-4 AVC codec - Copyleft 2003-2016 - http://www.videolan.org/x264.html - options: cabac=0 ref=3 deblock=1:0:0 analyse=0x1:0x111 me=hex subme=7 psy=1 psy_rd=1.00:0.00 mixed_ref=1 me_range=16 chroma_me=1 trellis=1 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=-2 threads=6 lookahead_threads=1 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=0 weightp=0 keyint=30 keyint_min=3 scenecut=40 intra_refresh=0 rc_lookahead=30 rc=crf mbtree=1 crf=23.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 ip_ratio=1.40 aq=1:1.00
Output #0, flv, to 'rtmp://localhost/show/UahyCaJa6g.m3u8':
  Metadata:
    encoder         : Lavf57.56.101
    Stream #0:0: Video: h264 (libx264) ([7][0][0][0] / 0x0007), yuv420p, 720x304 [SAR 1:1 DAR 45:19], q=-1--1, 25 fps, 1k tbn, 25 tbc
    Metadata:
      title           : DVD2VIDEO
      encoder         : Lavc57.64.101 libx264
    Side data:
      cpb: bitrate max/min/avg: 0/0/0 buffer size: 0 vbv_delay: -1
    Stream #0:1: Audio: aac (LC) ([10][0][0][0] / 0x000A), 48000 Hz, stereo, fltp, 128 kb/s
    Metadata:
      title           : DVD2AUDIO00
      encoder         : Lavc57.64.101 aac
Stream mapping:
  Stream #0:0 -> #0:0 (mpeg4 (native) -> h264 (libx264))
  Stream #0:1 -> #0:1 (mp3 (native) -> aac (native))
Press [q] to stop, [?] for help
frame=    9 fps=0.0 q=0.0 size=       0kB time=00:00:00.40 bitrate=   7.2kbits/s speed=0.801x    
frame=   22 fps= 22 q=0.0 size=       0kB time=00:00:00.93 bitrate=   3.1kbits/s speed=0.929x    
frame=   34 fps= 22 q=0.0 size=       0kB time=00:00:01.40 bitrate=   2.1kbits/s speed=0.931x    
frame=   47 fps= 23 q=28.0 size=       8kB time=00:00:01.94 bitrate=  34.4kbits/s speed=0.963x    
frame=   60 fps= 24 q=28.0 size=      17kB time=00:00:02.45 bitrate=  57.8kbits/s speed=0.972x    
frame=   72 fps= 24 q=28.0 size=      30kB time=00:00:02.92 bitrate=  82.9kbits/s speed=0.965x    
frame=   85 fps= 24 q=28.0 size=      46kB time=00:00:03.41 bitrate= 111.3kbits/s speed=0.967x    
frame=   97 fps= 24 q=28.0 size=      69kB time=00:00:03.94 bitrate= 143.8kbits/s speed=0.979x    
frame=  110 fps= 24 q=28.0 size=     101kB time=00:00:04.45 bitrate= 185.5kbits/s speed=0.983x    
frame=  123 fps= 24 q=28.0 size=     135kB time=00:00:04.95 bitrate= 223.3kbits/s speed=0.983x    
frame=  135 fps= 24 q=28.0 size=     169kB time=00:00:05.41 bitrate= 256.1kbits/s speed=0.978x    
frame=  148 fps= 25 q=28.0 size=     205kB time=00:00:05.97 bitrate= 280.5kbits/s speed=0.989x    
frame=  160 fps= 24 q=28.0 size=     235kB time=00:00:06.44 bitrate= 298.3kbits/s speed=0.984x    
frame=  173 fps= 25 q=28.0 size=     268kB time=00:00:06.93 bitrate= 316.3kbits/s speed=0.984x    
frame=  186 fps= 25 q=28.0 size=     299kB time=00:00:07.48 bitrate= 327.5kbits/s speed=0.991x    
frame=  198 fps= 25 q=28.0 size=     326kB time=00:00:07.97 bitrate= 334.4kbits/s speed=0.989x    
frame=  211 fps= 25 q=28.0 size=     347kB time=00:00:08.49 bitrate= 334.8kbits/s speed=0.991x    
frame=  223 fps= 25 q=28.0 size=     371kB time=00:00:08.98 bitrate= 338.1kbits/s speed=0.99x    
frame=  236 fps= 25 q=28.0 size=     391kB time=00:00:09.45 bitrate= 338.9kbits/s speed=0.987x    
frame=  249 fps= 25 q=28.0 size=     414kB time=00:00:10.02 bitrate= 338.0kbits/s speed=0.995x    
frame=  261 fps= 25 q=28.0 size=     439kB time=00:00:10.45 bitrate= 344.1kbits/s speed=0.988x    
frame=  274 fps= 25 q=28.0 size=     462kB time=00:00:10.98 bitrate= 344.3kbits/s speed=0.991x    
frame=  286 fps= 25 q=28.0 size=     488kB time=00:00:11.49 bitrate= 347.7kbits/s speed=0.992x    
frame=  299 fps= 25 q=28.0 size=     519kB time=00:00:12.01 bitrate= 353.8kbits/s speed=0.993x    
frame=  312 fps= 25 q=28.0 size=     545kB time=00:00:12.52 bitrate= 356.7kbits/s speed=0.994x    
frame=  324 fps= 25 q=28.0 size=     576kB time=00:00:12.97 bitrate= 363.6kbits/s speed=0.99x    
frame=  337 fps= 25 q=28.0 size=     613kB time=00:00:13.48 bitrate= 372.2kbits/s speed=0.99x    
frame=  350 fps= 25 q=28.0 size=     650kB time=00:00:14.03 bitrate= 379.2kbits/s speed=0.994x    
frame=  363 fps= 25 q=28.0 size=     680kB time=00:00:14.55 bitrate= 383.0kbits/s speed=0.995x    
frame=  375 fps= 25 q=28.0 size=     711kB time=00:00:15.01 bitrate= 387.7kbits/s speed=0.993x    
frame=  387 fps= 25 q=28.0 size=     740kB time=00:00:15.53 bitrate= 390.2kbits/s speed=0.993x    
frame=  400 fps= 25 q=28.0 size=     770kB time=00:00:16.04 bitrate= 393.4kbits/s speed=0.994x    
frame=  413 fps= 25 q=28.0 size=     805kB time=00:00:16.55 bitrate= 398.2kbits/s speed=0.994x    
frame=  425 fps= 25 q=28.0 size=     834kB time=00:00:17.04 bitrate= 400.6kbits/s speed=0.994x    
frame=  438 fps= 25 q=28.0 size=     867kB time=00:00:17.55 bitrate= 404.7kbits/s speed=0.994x    
frame=  451 fps= 25 q=28.0 size=     895kB time=00:00:18.07 bitrate= 405.9kbits/s speed=0.995x    
frame=  464 fps= 25 q=28.0 size=     924kB time=00:00:18.58 bitrate= 407.2kbits/s speed=0.995x    
frame=  476 fps= 25 q=28.0 size=     951kB time=00:00:19.11 bitrate= 407.4kbits/s speed=0.996x    
frame=  489 fps= 25 q=28.0 size=     978kB time=00:00:19.60 bitrate= 408.8kbits/s speed=0.996x    
frame=  501 fps= 25 q=28.0 size=    1007kB time=00:00:20.11 bitrate= 409.9kbits/s speed=0.996x    
frame=  514 fps= 25 q=28.0 size=    1032kB time=00:00:20.58 bitrate= 410.7kbits/s speed=0.994x    
frame=  527 fps= 25 q=28.0 size=    1060kB time=00:00:21.14 bitrate= 410.8kbits/s speed=0.997x    
frame=  539 fps= 25 q=28.0 size=    1089kB time=00:00:21.61 bitrate= 412.6kbits/s speed=0.996x    
frame=  552 fps= 25 q=28.0 size=    1122kB time=00:00:22.10 bitrate= 416.0kbits/s speed=0.995x    
frame=  565 fps= 25 q=28.0 size=    1151kB time=00:00:22.61 bitrate= 417.0kbits/s speed=0.996x    
frame=  577 fps= 25 q=28.0 size=    1182kB time=00:00:23.08 bitrate= 419.6kbits/s speed=0.994x    
frame=  590 fps= 25 q=28.0 size=    1213kB time=00:00:23.63 bitrate= 420.4kbits/s speed=0.997x    
frame=  602 fps= 25 q=28.0 size=    1234kB time=00:00:24.10 bitrate= 419.4kbits/s speed=0.995x    
frame=  615 fps= 25 q=28.0 size=    1264kB time=00:00:24.61 bitrate= 420.7kbits/s speed=0.995x    
frame=  627 fps= 25 q=28.0 size=    1286kB time=00:00:25.13 bitrate= 419.2kbits/s speed=0.996x    
frame=  640 fps= 25 q=28.0 size=    1304kB time=00:00:25.62 bitrate= 416.8kbits/s speed=0.995x    
frame=  653 fps= 25 q=28.0 size=    1329kB time=00:00:26.13 bitrate= 416.6kbits/s speed=0.996x    
frame=  665 fps= 25 q=25.0 size=    1343kB time=00:00:26.66 bitrate= 412.7kbits/s speed=0.997x    
frame=  678 fps= 25 q=28.0 size=    1368kB time=00:00:27.17 bitrate= 412.2kbits/s speed=0.997x    
frame=  691 fps= 25 q=28.0 size=    1440kB time=00:00:27.67 bitrate= 426.2kbits/s speed=0.997x    
frame=  703 fps= 25 q=28.0 size=    1479kB time=00:00:28.18 bitrate= 430.0kbits/s speed=0.997x    
frame=  716 fps= 25 q=28.0 size=    1509kB time=00:00:28.65 bitrate= 431.6kbits/s speed=0.996x    
frame=  729 fps= 25 q=28.0 size=    1519kB time=00:00:29.20 bitrate= 426.0kbits/s speed=0.997x    
frame=  741 fps= 25 q=28.0 size=    1555kB time=00:00:29.67 bitrate= 429.2kbits/s speed=0.996x    
frame=  754 fps= 25 q=25.0 size=    1607kB time=00:00:30.18 bitrate= 436.0kbits/s speed=0.996x    
frame=  767 fps= 25 q=28.0 size=    1628kB time=00:00:30.72 bitrate= 434.1kbits/s speed=0.997x    
frame=  780 fps= 25 q=28.0 size=    1678kB time=00:00:31.21 bitrate= 440.4kbits/s speed=0.997x    
frame=  792 fps= 25 q=28.0 size=    1722kB time=00:00:31.70 bitrate= 444.9kbits/s speed=0.996x    
frame=  805 fps= 25 q=28.0 size=    1752kB time=00:00:32.21 bitrate= 445.5kbits/s speed=0.997x    
frame=  817 fps= 25 q=28.0 size=    1769kB time=00:00:32.70 bitrate= 443.1kbits/s speed=0.996x    
frame=  830 fps= 25 q=28.0 size=    1813kB time=00:00:33.23 bitrate= 446.9kbits/s speed=0.997x    
frame=  843 fps= 25 q=28.0 size=    1829kB time=00:00:33.79 bitrate= 443.3kbits/s speed=0.998x    
frame=  855 fps= 25 q=28.0 size=    1842kB time=00:00:34.26 bitrate= 440.4kbits/s speed=0.998x    
frame=  868 fps= 25 q=28.0 size=    1862kB time=00:00:34.75 bitrate= 438.9kbits/s speed=0.997x    
frame=  881 fps= 25 q=28.0 size=    1883kB time=00:00:35.28 bitrate= 437.2kbits/s speed=0.998x    
frame=  893 fps= 25 q=28.0 size=    1898kB time=00:00:35.73 bitrate= 435.0kbits/s speed=0.996x    
frame=  906 fps= 25 q=28.0 size=    1914kB time=00:00:36.28 bitrate= 432.0kbits/s speed=0.998x    
frame=  919 fps= 25 q=28.0 size=    1928kB time=00:00:36.77 bitrate= 429.4kbits/s speed=0.997x    
frame=  931 fps= 25 q=28.0 size=    1936kB time=00:00:37.27 bitrate= 425.6kbits/s speed=0.997x    
frame=  944 fps= 25 q=28.0 size=    1966kB time=00:00:37.73 bitrate= 426.8kbits/s speed=0.996x    
frame=  956 fps= 25 q=28.0 size=    2024kB time=00:00:38.25 bitrate= 433.5kbits/s speed=0.997x    
frame=  969 fps= 25 q=28.0 size=    2115kB time=00:00:38.78 bitrate= 446.7kbits/s speed=0.998x    
frame=  981 fps= 25 q=28.0 size=    2198kB time=00:00:39.27 bitrate= 458.5kbits/s speed=0.997x    
frame=  993 fps= 25 q=28.0 size=    2236kB time=00:00:39.85 bitrate= 459.7kbits/s speed=0.999x    
frame= 1007 fps= 25 q=28.0 size=    2295kB time=00:00:40.32 bitrate= 466.3kbits/s speed=0.998x    
frame= 1019 fps= 25 q=28.0 size=    2314kB time=00:00:40.79 bitrate= 464.8kbits/s speed=0.997x    
frame= 1032 fps= 25 q=28.0 size=    2368kB time=00:00:41.30 bitrate= 469.6kbits/s speed=0.998x    
frame= 1044 fps= 25 q=28.0 size=    2408kB time=00:00:41.77 bitrate= 472.2kbits/s speed=0.997x    
frame= 1057 fps= 25 q=28.0 size=    2468kB time=00:00:42.28 bitrate= 478.1kbits/s speed=0.997x    
frame= 1069 fps= 25 q=28.0 size=    2487kB time=00:00:42.81 bitrate= 475.9kbits/s speed=0.998x    
frame= 1082 fps= 25 q=28.0 size=    2508kB time=00:00:43.30 bitrate= 474.4kbits/s speed=0.997x    
frame= 1095 fps= 25 q=28.0 size=    2581kB time=00:00:43.86 bitrate= 482.1kbits/s speed=0.999x    
frame= 1107 fps= 25 q=28.0 size=    2604kB time=00:00:44.33 bitrate= 481.1kbits/s speed=0.998x    
frame= 1120 fps= 25 q=28.0 size=    2660kB time=00:00:44.82 bitrate= 486.2kbits/s speed=0.998x    
frame= 1133 fps= 25 q=28.0 size=    2683kB time=00:00:45.33 bitrate= 484.9kbits/s speed=0.998x    
frame= 1145 fps= 25 q=28.0 size=    2740kB time=00:00:45.84 bitrate= 489.5kbits/s speed=0.998x    
frame= 1158 fps= 25 q=28.0 size=    2758kB time=00:00:46.35 bitrate= 487.4kbits/s speed=0.998x    
frame= 1170 fps= 25 q=25.0 size=    2776kB time=00:00:46.87 bitrate= 485.3kbits/s speed=0.998x    
frame= 1183 fps= 25 q=28.0 size=    2832kB time=00:00:47.33 bitrate= 490.1kbits/s speed=0.998x    
frame= 1195 fps= 25 q=28.0 size=    2851kB time=00:00:47.85 bitrate= 488.0kbits/s speed=0.998x    
frame= 1208 fps= 25 q=28.0 size=    2912kB time=00:00:48.34 bitrate= 493.4kbits/s speed=0.998x    
frame= 1221 fps= 25 q=28.0 size=    2937kB time=00:00:48.85 bitrate= 492.5kbits/s speed=0.998x    
frame= 1233 fps= 25 q=28.0 size=    2958kB time=00:00:49.36 bitrate= 490.9kbits/s speed=0.998x    
frame= 1246 fps= 25 q=28.0 size=    3012kB time=00:00:49.92 bitrate= 494.3kbits/s speed=0.999x    
frame= 1258 fps= 25 q=28.0 size=    3030kB time=00:00:50.36 bitrate= 492.9kbits/s speed=0.998x    
frame= 1271 fps= 25 q=28.0 size=    3107kB time=00:00:50.88 bitrate= 500.3kbits/s speed=0.998x    
frame= 1284 fps= 25 q=28.0 size=    3152kB time=00:00:51.37 bitrate= 502.6kbits/s speed=0.998x    
frame= 1296 fps= 25 q=28.0 size=    3224kB time=00:00:51.88 bitrate= 509.1kbits/s speed=0.998x    
frame= 1309 fps= 25 q=28.0 size=    3246kB time=00:00:52.37 bitrate= 507.7kbits/s speed=0.998x    
frame= 1322 fps= 25 q=28.0 size=    3267kB time=00:00:52.90 bitrate= 505.8kbits/s speed=0.998x    
frame= 1334 fps= 25 q=28.0 size=    3318kB time=00:00:53.39 bitrate= 509.0kbits/s speed=0.998x    
frame= 1347 fps= 25 q=28.0 size=    3349kB time=00:00:53.86 bitrate= 509.3kbits/s speed=0.997x    
frame= 1360 fps= 25 q=28.0 size=    3426kB time=00:00:54.37 bitrate= 516.1kbits/s speed=0.997x    
frame= 1372 fps= 25 q=28.0 size=    3486kB time=00:00:54.89 bitrate= 520.3kbits/s speed=0.997x    
frame= 1385 fps= 25 q=28.0 size=    3576kB time=00:00:55.40 bitrate= 528.7kbits/s speed=0.998x    
frame= 1398 fps= 25 q=28.0 size=    3640kB time=00:00:55.97 bitrate= 532.7kbits/s speed=0.999x    
frame= 1410 fps= 25 q=28.0 size=    3703kB time=00:00:56.42 bitrate= 537.6kbits/s speed=0.998x    
frame= 1423 fps= 25 q=28.0 size=    3797kB time=00:00:56.87 bitrate= 546.9kbits/s speed=0.997x    
frame= 1436 fps= 25 q=25.0 size=    3864kB time=00:00:57.45 bitrate= 550.9kbits/s speed=0.998x    
frame= 1449 fps= 25 q=28.0 size=    3959kB time=00:00:57.98 bitrate= 559.3kbits/s speed=0.999x    
frame= 1461 fps= 25 q=28.0 size=    4019kB time=00:00:58.45 bitrate= 563.3kbits/s speed=0.998x    
frame= 1473 fps= 25 q=28.0 size=    4112kB time=00:00:58.92 bitrate= 571.7kbits/s speed=0.997x    
frame= 1486 fps= 25 q=28.0 size=    4176kB time=00:00:59.47 bitrate= 575.1kbits/s speed=0.998x    
frame= 1499 fps= 25 q=28.0 size=    4240kB time=00:00:59.99 bitrate= 579.0kbits/s speed=0.998x    
frame= 1512 fps= 25 q=28.0 size=    4329kB time=00:01:00.52 bitrate= 585.9kbits/s speed=0.999x    
